,0,1,2,3
98,sepultura,Against,Against,"The more I see, the more I hate
The more I learn, the more I fake
The less I try, the less I get
The less I'm in, I'm never out

Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it

You don't know and I don't know
The circle seems the same
Falling down or standing up
I care what is against

Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it
Don't do that - I knew it
Don't do that - I knew it, knew it

What the fuck - You blew it
What the fuck - You blew it, blew it
What the fuck - You blew it
What the fuck - You blew it, blew it
What the fuck - You blew it
What the fuck - You blew it, blew it
What the fuck - You blew it
What the fuck - You blew it, blew it

Against!
Against!

Lyrics: Andreas Kisser
Music: Andreas Kisser / Igor Cavalera
Sepultura / Zebrahead / Gringo - backing vocals"
99,sepultura,Against,Choke,"Pray for another life
Pay, regain your pride

See your brain - Choke, choke, choke
Watch it drain - Choke, choke, choke
See your greed - Choke, choke, choke
Watch it breed - Choke, choke, choke

Fake, you're falling down
Choke, your neck is broken

See your brain - Choke, choke, choke
Watch it drain - Choke, choke, choke
See your greed - Choke, choke, choke
Watch it breed - Choke, choke, choke

Victim in conflict, the ambush of fear
My doubt, my limit, the pulse of my war

See your brain - Choke, choke, choke
Watch it drain - Choke, choke, choke
See your greed
Watch it breed

Choke, choke"
100,sepultura,Against,Rumors,"Loss for words - you lost respect
Food for thoughts - you're just a fool
Mind of the weak, with nonsense says

The rumors will never die
The rumors are only lies
The rumors don't let you breathe
Talk is cheap

Games of lies - just fucking lies
It's all wrong - you're full of shit
Nothing's straight, no!
Low moves, low moves

The rumors will never die
The rumors are only lies
The rumors don't let you breathe
Talk is cheap

The rumors are only lies
The rumors are only lies
The rumors are only lies

I thought I've heard
I thought I've heard

I thought I've heard
I thought I've said
I thought was right
It's never wrong
I thought I've heard
I thought I've said
I thought was right
It's never wrong

I thought I've heard
I thought I've heard

Let it be, just let it be
Never mind, just never mind
That's all you have, that's all you got
Never say what you never will

The rumors will never die
The rumors are only lies
The rumors don't let you breathe
Talk is cheap"
101,sepultura,Against,Old Earth,"We gamble with life fighting tribes after tribes
Colors and races misplaced in the spaces
We're falling, we're crawling
We're crying, denying

Heavy rain shaking ground
No roots will be found
Hate from my mother, the limits of mankind
We're lying, we're dying, destroying

The earth is rotting
The earth is rotting
Rot old, old earth

The earth is growing
It keeps on growing
Grow old, old earth

Believing in gods and spirits that can save us
Shout to the skies and disturbing the peace
We're rioting, we're shouting
We're killing, denying

Involved in our minds
But not by our own actions
Consume all the wealth
There's no hope for redemption
We're burning, we're cutting, destroying

Can you feel?
Can you feel?
Can you feel it leave!

Destroying, denying
Destroying, denying

The earth is rotting
The earth is rotting
Rot old, old earth

The earth is growing
It keeps on growing
Grow old, old earth"
102,sepultura,Against,Floaters In Mud,"Stuck in the ground
Shopping for support
Nothing can be found
The mind floats around
Crashing back and forth
Never really stopping

Turn around and try to face yourself
You may think it looks like someone else

Look from outside, they don't heal
I'm passing through, shaking hands
Eyeless, shit-faced, they're not real
Mud in the brain, all insane

Turn around and try to face yourself
You may think it looks like someone else

Raw display of pain
No shelter refugee
No shelter refugee

Floaters in mud

Turn around and try to face yourself
You may think it looks like someone else

Turn around and face yourself...
Turn around and face yourself...
Turn around and face yourself...
Turn around and face yourself..."
103,sepultura,Against,Boycott,"Urban war, cracked-up child
Painted in blood on concrete walls
Carbonic gas, cancer land
What do I care? What do I care?

Is he prepared? Can he face that?
He must handle the truth of real demands

Strike! Boycott!
Strike! Boycott!

Strike - Boycott
Strike - Boycott
Strike - Boycott, boycott

Armed and ill, psycho kill
There's no ground holding my feet up
Trained to serve but I steal
What do I care? What do I care?

Protect society who pays me shit
Its south of the world, no justice sire

Strike! Boycott!
Strike! Boycott!

Strike - Boycott
Strike - Boycott
Strike - Boycott, boycott

Stressful mind, fucked up life
I know the end can be suicide
Suicide, suicide
What do I care? What do I care?

Boycott the trigger
And you'll have no feedback
Boycott the force
That kept the sick in their beds

I'll boycott the trigger, have no feedback
With hands tied, I can't receive what I need
I'll boycott the trigger, have no feedback
With hands tied, I can't receive what I need

Reserve no honor, reserve no pride
Reserve no honor, reserve no pride

Strike! Boycott!
Strike! Boycott!"
104,sepultura,Against,Tribus,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
105,sepultura,Against,Common Bonds,"Before we're born, before we walk
Before we talk and hate
Yet to come the perfect rule
After we win, after we lose
After the dawn is late
Do it now or shut your mouth

No lack of trust, just trust myself
No more perhaps, no more false step
Changes in sight, sight!
Common bonds

Fear the fate that's not the shape of the soul
Trust the heart and share to ease the pain
No mistake is big enough to bring you down
The wrinkles on your face
Is strength in your mind

No lack of trust, just trust myself
Changes in sight, sight!
Common bonds

The urge to win
A time to strike
Follow no one
Follow no one

Strength in mind"
106,sepultura,Against,F.O.E.,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
107,sepultura,Against,Reza,"O desespero, a dor, o medo
Fatores decisivos que te obrigam a pensar
O vinho e sangue, a carne e o pao
Chagas que nao fecham que intrigam sua vida
O ceu e o inferno, a cruz o perdao
A luz no fim do tunel e vida depois da morte
Voce tomou sua decisao
Nao espere julgamento sua alma esta perdida

Reza
Reza
Reza
Reza

Heresia, maldicao
O pai, o filho, o espirito santo
Ignoram os fieis que nao se cansam de rezar
Gritam, cantam a oracao
Desculpem eu lamento eles nao vao te escutar

Reza

[Spoken words]

Arrependei-vos pecadores
A penitencia purifica
O sangue escorre
A dor fascina
So o medo te faz rezar

A guerra e santa o pecado e mortal
A hostia consagrada que tem gosto de esfiha
Tortura, fogueira, a inquisicao
O passado violento da igreja e normal
Armagedon, destruicao
O fim do mundo e pouco pra fuder a sua vida
Enriquecer, ressucitar
Em nome de Jesus nao me comece a chorar

Reza
Reza
Reza
Amen


Lyrics: Joao Gordo
Music: Andreas Kisser / Igor Cavalera
Gordo - lead vocals
----
English translation by OmegaRed/David Ache

he despair, the pain, the fear 
Decisive factors that make you think 
The wine and blood, the flesh and bread 
Wounds that do not heal that intrigue your life 
Heaven and hell, the cross and the forgiveness 
The light in the end of the tunnel and life after death 
You've made your decision 
Don't wait for trial (judgement?), there's no hope for your soul
(literal translation: ""Don't wait for trial, your soul is lost"")

Pray - Pray - Pray - Pray 

Heresy, Curse 
The father, the son, and the Holy Ghost 
They ignore the faithful that don't stop praying
(literal translation: ""They ignore the faithful that don't get tired of praying"") 
They scream, sing the prayer 
I'm sorry, but they won't listen to you 

Pray - Pray - Pray - Pray 

Regret, sinners 
The penitence purifies 
The blood drips 
The pain fascinates 
Only fear makes you pray 

The war is sacred, the sin is mortal 
The Host that tastes like esfiha 
Torture, fire, inquisition 
The violent past of the Church is normal 
Armaggedon, destruction 
The end of the world is not much to fuck your life 
To enrich, to resuscitate 
In the name of Jesus don't start crying"
108,sepultura,Against,Unconscious,"The deepest pain inside
The highest price to pay
The biggest lies are said
I'm just a fake in life

Unconscious
Unconsciousness
Unconscious
Unconsciousness

Alone I fall again
My blood runs through my veins
My brain and my strength
No longer are the same, no!

Unconscious
Unconsciousness
Unconscious
Unconsciousness

The moment of truth
Destroy the sense of it
I thought that was then
I thought that was me

Still I fear
Unconsciousness
Still I seek
Unconsciousness

Oh shit!

Still I fear
Still I seek
Still I fear
Still I seek

Unconscious
Unconscious
Unconscious
Unconscious"
109,sepultura,Against,Kamaitachi,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
110,sepultura,Against,Drowned Out,"He just takes what's his
Can never see an end
Build a wall of selfishness
To block out all your fears

I can't forget, I won't forget
I can't forget, I won't forget
You don't owe me shit

Never any remorse
Never any remorse

Always turning your back
Drowned out, drowned out

There's no compromise
Only hate inside
I decided long ago
I would never be so blind

I can't forget, I won't forget
I can't forget, I won't forget

Never any remorse
Never any remorse

Always turning your back
Drowned out, drowned out

Feel no shame
Show no shame
You don't owe me shit!"
111,sepultura,Against,Hatred Aside,"Explode in disorder, no matter the prize
Steps on the path the righteous do find

Try as they will but they cannot divide

Time is relentless, pushing us on
Restoring our fate, we never lost sight
Spirits evolving, flowing as one
Having no limits, all hatred aside

Try as they will but they cannot divide

To divide, to divide, to divide
To divide, to divide, to divide
To divide, to divide, to divide

Live for the sound loud to survive
My will has no bounds to keep this alive
Truth paves the way to the world that I know
Love for our brothers we'll not fail to show
Learn what we hear, see what we feel
The air that I breathe could not be more real
Spit out bitter pill that made me want to hide

Try as they will but they cannot divide

Cannot divide
Cannot divide
Cannot divide
No!

Time is your enemy only if you let it be
I won't let my future get away from me
Listen - let go - out of - my mind
Out of - my mind - listen - let go

Need to reach, seek to find
Will not breach, cannot divide"
112,sepultura,Against,T3rcermillennium,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
113,sepultura,Against,Gene Machine/Don't Bother Me,"Wanna see me hang around
Don't bother me
Well, wanna know if I'll get down
Oh can't you see

(Gene Machine)
Stick it in, shove it up
Are they still humans?
(Dream Machine)
With brown eyes, brown hair
Created scientifically

You wanna see me hang around
Don't bother me
You wanna know if I get down
Oh can't you see
Come on open up your eyes
It is plain to see
Truth is there to be in reality

(Gene Machine)
Are they issues?
Dial-A-Gene... Buy-A-Gene
Take a second look did one just pass by way?
(Gene Machine)
(Gene Machine)

You never know one
When you see her
Quite aware
Mistaken identity
Oh Gene Machine
Under Him
We pray not take the other"
114,sepultura,Tribus,The Waste,"If what you want
Is what you need
If what you want
Is what you need
Then what you need
Is really what you want
If what you want
Is what you need
Then what you need
Is really, really what you want

If what you want
Is what you need
Then what you need
Is what you really, really want
If what you want
Is what you need
Then what you need
Is what you really, really want

I'm wasted (Today, today)
I'm wasted (Today, today)

If what you want
Is what you need
Then what you need
Is what you really, really want
If what you want
Is what you need
Then what you need
Is what you really, really want

If what you hunt
Is what you see
Then what you see
Is what you really want to eat
If what you love
Is what you bleed
Then what you bleed
Is what will really set you free

I'm wasted
And I keep falling over
With your head on my shoulder
I'm wasted

If what you want
Is what you need
Then what you need
Is what you really, really want
If what you sung
Is what you bleed
Then what you bleed
Will have the face of your conceit

I'm wasted
I'm wasted
I don't want to live without her
I don't want to die without her
I don't want to live without her
I don't want to die without her

(Flute Solo)

I don't want to live without her
I don't want to die without her
I don't want to live without her
I don't want to die without her
I don't want to live without her
I don't want to die without her
I don't want to live without her
I don't want to die without her
I'm wasted"
115,sepultura,Tribus,Tribus,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
116,sepultura,Tribus,Common Bonds,"Before we're born, before we walk
Before we talk and hate
Yet to come the perfect rule
After we win, after we lose
After the dawn is late
Do it now or shut your mouth

No lack of trust, just trust myself
No more perhaps, no more false step
Changes in sight, sight!
Common bonds

Fear the fate that's not the shape of the soul
Trust the heart and share to ease the pain
No mistake is big enough to bring you down
The wrinkles on your face
Is strength in your mind

No lack of trust, just trust myself
Changes in sight, sight!
Common bonds

The urge to win
A time to strike
Follow no one
Follow no one

Strength in mind"
117,sepultura,Tribus,Unconscious (Demo),"The deepest pain inside
The highest price to pay
The biggest lies are said
I'm just a fake in life

Unconscious
Unconsciousness
Unconscious
Unconsciousness

Alone I fall again
My blood runs through my veins
My brain and my strength
No longer are the same, no!

Unconscious
Unconsciousness
Unconscious
Unconsciousness

The moment of truth
Destroy the sense of it
I thought that was then
I thought that was me

Still I fear
Unconsciousness
Still I seek
Unconsciousness

Still I fear
Still I seek
Still I fear
Still I seek

Unconscious
Unconscious
Unconscious
Unconscious"
118,sepultura,Tribus,F.O.E.,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
119,sepultura,Tribus,Prenuncio,"Quem sou eu? Não interessa!
Como também não interessa quem é você!
Interessa é saber o que somos...a vida ou a morte!
Coragem ou medo...em resumo o que procuras?
O paraíso ou o inferno?

O que é mais violento?
Os animais?A força da natureza? Não!
É o aprisionamento da liberdade de expressão
Sentir, ouvir e não poder falar.

De que servem as regras, burocracia, sistema e leis
Se o carrasco do poder degola a nossa cultura?

Ahhh você não se importa com o destino do mundo
És corajoso demais, então por que temes diante do caixão?
Seu melhor amigo evita a Sepultura
Sua certa e última morada

Temes a batalha do Armagedon, a ira do Oligatan
O Apocalipse final, mas por que esse temor
Se pasaste por todos os prazeres terrenos
Os sete pecados capitais e todas as aberraçžes sexuais

Hmmm porque está ciente de que não existe o terror
No entanto o terror o aprisiona
Mas o que é o terror?
Hahaha não aceita o terror porque o terror é voces!!

translation:

Who am I? It doesn't matter!
Just as it doesn't matter who you are.
What matters is to know WHAT we are...life or death.
Courage or fear...shortly: what dost thou seek?
Paradise or HELL?

What is more violent?
The animals? The force of nature? NO!
It's the imprisonment of the freedom of speech:
To feel, to hear, unable to speak.

What good are the rules, bureaucracy, systems and laws,
if the executioner of power decapitates our culture?

Ahhh, you don't care about the fate of the world.
How brave you are!
Then why do you fear the coffin?
Your best friend avoids the GRAVE (Sepultura),
his last and certain home.

Ah, you fear the battle of Armageddon, the wrath of Oligathan, the final Apocalypse,
but why this fear,
if you've been through all earthly pleasures,
the seven deadly sins and all the sexual aberrations?

Hmmm, because you're sure that terror doesn't exist,
HOWEVER, terror imprisons you.
But what is terror? AHAHAHAHA!
You won't accept terror because terror is YOU!"
120,sepultura,Tribus,Against (Demo),"The more I see, the more I hate
The more I learn, the more I fake
The less I try, the less I get
The less I'm in, I'm never out

Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it

You don't know and I don't know
The circle seems the same
Falling down or standing up
I care what is against

Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it
Don't do that, I knew it
Don't do that, I knew it, knew it

What the fuck, I blew it
What the fuck, I blew it, blew it
What the fuck, I blew it
What the fuck, I blew it, blew it
What the fuck, I blew it
What the fuck, I blew it, blew it
What the fuck, I blew it
What the fuck, I blew it, blew it

Lyrics: Andreas Kisser
Music: Andreas Kisser / Igor Cavalera
Sepultura / Zebrahead / Gringo - backing vocals"
121,sepultura,Nation,Sepulnation,"A nation built on sweat
A nation built on blood
A nation built on dreams

Before the tongues are mute
Before they hide the truth
We'll be the ones who speak

A nation - a nation
A struggle - a struggle
A weapon - a weapon
Our music!
One mantra - one mantra
One prayer- one prayer
One belief - one belief
All gods!

We see without our eyes
We walk without a path
We fight with unity

Search for a better way
Change what's been done before
Make our own history

Rise up, rise up
Resistance won't be stopped
Rise up, rise up
Sepulnation

Rise, rise
Corruption undisguised
Rise, rise
Sepulnation

Confronting with our minds
Destroying all the lies
Unmasked by purity

Burning the eyes of greed
No fear, no disbelief
Our faith is your misery

A nation - a nation
A struggle - a struggle
A weapon - a weapon
Our music!
One mantra - one mantra
One prayer- one prayer
One belief - one belief
All gods!

Rise up, rise up
Resistance won't be stopped
Rise up, rise up
Sepulnation

Rise, rise
Corruption undisguised
Rise, rise
Sepulnation

One nation above all
Founded on our faith"
122,sepultura,Nation,Revolt,"This is the trench that never surrenders
Fighting the front, attacking their nest
All out - holding our flag
All out - ruling our path

Our revolt!

This is the trench that never surrenders
This is a strike that targets an answer
Heads up - confronting the task
Heads up - we're wearing no mask

Look inside the truth

It's our revolt!
It's our revolt!"
123,sepultura,Nation,Border Wars,"Where am I to go? what do I have to do?
Borders all around me, there's no chance for
A choice
Born in this world in a war stricken land
I will do what I have to do and go where I can

The walls that we build we are taking them
Down
Imaginary lines of corruption and greed
The walls that we build we are taking them
Down
Overpopulation isn't just an excuse

Searching for a place where I can have my own
Rights
Everywhere around me there's death in the air
I wanna find a way to make a change in my life
I will do what I have to do and fight till the
End

The walls that we build we are taking them
Down
Imaginary lines that won't allow us to live
The walls that we build we are taking them
Down
Denying all the rules and all their abuse

No, no - it won't be this way
No, no - can't be their way
Pride, pride - they won't blur our pride
I, I - must stay alive

Looking for the ground to build a home that is
Safe
They make the planet small and they have no
Control
Everywhere you go they have an eye on your
Steps
I will run where I have to run and hide where i
Can

The walls that we build we are taking them
Down
Exploring different fields so we grow in our
Hearts
The walls that we build we are taking them
Down
Exploiting all the lies to defend our own kind

No, no - it won't be this way
No, no - can't be their way
Pride, pride - they won't blur our pride
I, I - must stay alive

Border wars

One more crime
Crossing lines
Trapped inside
State of mind
Never blind
Fate untied

No, no - it won't be this way
No, no - can't be their way
Pride, pride - they won't blur our pride
I, I - must stay alive

Border wars

One more crime
Crossing lines
Trapped inside
State of mind
Never blind
Fate untied"
124,sepultura,Nation,One Man Army,"Your greed is for money
My greed is for land
Shut off my eyes
Clog up my ears
Cut off my tongue
You'll still hear me coming

My blood is thicker
My pain will rise
Boycott my ideas
Fueled with the hate I feel
Infiltrated with the lies
That you're feeding me

One man army

Our strength's your weakness
Our truth's your lies
Shut off my eyes
Clog up my ears
Cut off my tongue
You'll still hear me coming

Surrounded by mistrust
Trapped in your mind
All you hear is - what you fear and
All you fear is - what you don't know
All you know is - what you see
And what you see won't last forever

One man army

Our truth will echo and echo forever
Tormenting you forever and ever

You'll still hear me coming through to you

Boycott my ideas
Fueled with the hate I feel
Infiltrated with the lies
That you're feeding me

One man and I'm coming for you"
125,sepultura,Nation,Vox Populi,"No soul over body
No body without soul
No brain, no information
No vision, no protection

No church in politics
No profit in religion
No suffering without cost
All I believe is freedom

No minds without solutions
No laws without our vote
No lies in conversation
Handle who you provoked

Cannot be - cannot feel
Cannot think - cannot see
Cannot live in dignity
Our life, our way

We are tired of being denied
We are sick of being sick
We are feeding all our anger
We are tightening up our fist

We are failing to prevent
Our fate from disillusion
We are failing to protect
Our lives from full destruction

We are bowing all our heads
To doubtful leaderships
We are moving all our trust
To judge what is unjust

Cannot be - cannot feel
Cannot think - cannot see
Cannot live in dignity
Our life, our way

Exploitation, segregation
All comes crashing down
Exploitation, segregation
All that is a falling nation

Cannot be - cannot feel
Cannot think - cannot see
Cannot live in dignity
Our life, our way"
126,sepultura,Nation,The Ways Of Faith,"The senseless painted room, excuses from the
Sky
Compassion for nothing, purity was a lie
Our souls have wounds, our sons will touch
The breath of life, for all mankind

By the faith of god, let me be my name
In the name of god, let me live my faith

To instigate a fear that resides in you
The mystery of each and every one of us
Trust to trust, teeth to teeth
Lying low, near the sky

By the faith of god, let me be my name
In the name of god, let me live my faith

Under the ways of faith, can I live?

Sacrifice is made in holy wars
Covered in blood, the path we walked before

Seeds in sacred soil no longer grow
Can I live without you killing me

Under the ways of faith, can I live?"
127,sepultura,Nation,Uma Cura,"Looking face to face to find our own face
Talking mouth to mouth to find our own
Mouth
While we step, unsafe ground
While rejecting knowledge
Blaming fear in faith to weaken our own fate
Starring eye to eye to see if we could fly
While we feel so lonely
While regretting knowledge

Uma cura

Seek a real cure to resolve our sick minds
Fight a cold war to live in a poor way
While we made new nations
While we're killing knowledge
Looking face to face to find our own fear
Blame an open mouth for spreading the real
Truth
What's our future hold?
Will we gain new knowledge?

Uma cura existe

Breaking all the time to find a new vision
Fighting destiny to live what we believe
While the sick are dying
While the bricks are falling
Bringing back the blood that lives in our
Hearts
Acting in a way so we won't fall apart
While we're holding secrets
While we spread new knowledge

Uma cura

Take a broken dream and make it what we will
Keep an open mind to keep true of what we feel
(Of?)
While we deal with pressure
While we're taking action
Looking face to face to find our own face
Starring eye to eye to see if we could fly
What's our future hold?
Will we blame new knowledge?

Uma cura existe"
128,sepultura,Nation,Who Must Die?,
129,sepultura,Nation,Saga,"Intense fiercing war, insult no tolerance
Against one rule, to fit 'em all
To blur my eyes already blind
To keep my hands from moving free

The pulse of what we live, the hate we build
Inside
Create my shield, to fight them all
They see the things they can not be
To understand they can't be free

No surrender - still unhurt, we fly

We learned the way how to be real
What we say we live
It keeps me sane to embrace our will
And go against inhumanity

My saga, my saga - battle in the fields of fear
Attack defend - it's never over
My saga, my saga - no regrets

It doesn't matter where you are
Do what you can with what you have
It doesn't matter where you are
Do what you can with what you have

No surrender - still unhurt, we fly

We learned the way how to be real
What we say we live
It keeps me sane to embrace our will
And go against inhumanity

My saga, my saga - battle in the fields of fear
Attack defend - it's never over
My saga, my saga - no regrets"
130,sepultura,Nation,Tribe To A Nation,"We ova inna tribe haffe call to a nation
So inna direct communification
Heal your wounds in dysya bloody dimension
Because the end could be a violent solution
Words are not dead create revolution
We haffe grow...

Nation we call, words heal them all
Rock dem tribal, cyan never fall
Ram de dance hall, warrior prepare fi de end

Tribe to a nation
We grow!

All we do is believe
No turning back

We fall from our wounds, but these words
Aren't dead
He who lives must be prepared for the end

Change is the law of life
No falling back

We fall from the wounds, but these words
Aren't dead
He who lives must be prepared for the end

Push up - mash up - get up - stand up - tribe up -
Feel up - rise up - turn up - sing up - shout up -
Speak up - move up - hail - look up - free up -
Crash up - jam up - seal up - sign up - stick up -
Push up

Tribe to a nation
We grow!"
131,sepultura,Nation,Politricks,"So you want a nation?
Your very own nation
Push the machine aside
Many have tried

We have always been there
We will always be there
Making sure you need us
And feed us

We got the money
We got the power
We got the guns
We got TV

You are our livestock
We make you love it
Slave and dream for escape
But scared to death of change

Want to hear my speech?
Want to share my thoughts?
Protest! protest!

...Come now
Is it worth the hassle?
Worth all your precious time?
You'll grow old, you'll give up

We farm you
We milk you
Your energy's for us to drain
Office, sweatshop, plantation, the same

I know we can survive our choice
I know we can be what we want to be
I know we can survive
I know we will survive

The only game we know
We must have more and more
Make more, take more
Control more

You are our marketplace
Not a community
No subcommandante ski-mask
Will lead you to no promised land

Want to hear my speech?
Want to share my thoughts?
Protest! protest!"
132,sepultura,Nation,Human Cause,"The slow death of light
Caving in from all sides
Faces deformed by hate
Shaping the human condition

Human cause

Ghettos of our time
A wall limits our life
Lies heard by our ears
But truth seen trough our eyes

Human cause"
133,sepultura,Nation,Reject,"The dreams of wealth
A common fantasy
They're only illusions
You see them on TV

They think they know everything about us
Don't think they ever will
Make a move in the wrong direction
Don't try to label us dead

Confuse what I think...

Do you know what's wrong?
I don't know what's wrong
We want to be free!
We have to reject!

Whose lives are we living?
How many people are led?
To believe break your back for a buck
Don't ever think it will end

Confuse what I think!

Do you know what's wrong?
I don't know what's wrong
We want to be free!
We have to reject!

The dreams of wealth
A common fantasy
They're only illusions
You see them on TV

Whose lives are we living?
How many are led?
In the wrong direction
Try to label us dead"
134,sepultura,Nation,Water,"Do not believe it only because you've heard it
Before
Simply because it's spoken and rumored

One and all, live up to it
One and all

Do not believe it simply because it's written in
Books
Let us understand our own destiny
The seekers will always seek out the truth
We are what we make of ourselves

One and all, live up to it
One and all"
